1,世界遺産検定3級,1,基礎,世界遺産条約が採択された年は？,1972年
2,世界遺産検定3級,1,基礎,世界遺産委員会が年に一度開催される目的は？,新規登録の審査、保全状況の確認、リストの決定
3,世界遺産検定3級,1,基礎,世界遺産を管理・運営している国際機関は？,ユネスコ（UNESCO：国際連合教育科学文化機関）
4,世界遺産検定3級,1,基礎,世界遺産の種類で、建造物や遺跡などが該当するのは？,文化遺産
5,世界遺産検定3級,1,基礎,世界遺産の種類で、自然の地形や動植物の生息地などが該当するのは？,自然遺産
6,世界遺産検定3級,1,基礎,世界遺産の種類で、文化と自然の両方の価値を持つのは？,複合遺産
7,世界遺産検定3級,1,基礎,危機にさらされている世界遺産が登録されるリストは？,危機遺産リスト
8,世界遺産検定3級,1,基礎,世界遺産に登録されるための絶対的な基準は？,顕著な普遍的価値（O.U.V.）
9,世界遺産検定3級,1,基礎,世界遺産の総数（おおよその数）は？,"1,100件以上"
10,世界遺産検定3級,1,基礎,日本で最初に世界遺産に登録された4件の内の2件（文化・自然）は？,法隆寺地域の仏教建造物、姫路城、屋久島、白神山地
11,世界遺産検定3級,1,日本,1993年に日本で初めて世界遺産に登録された、縄文杉で有名な自然遺産は？,屋久島
12,世界遺産検定3級,1,日本,1993年に日本で初めて世界遺産に登録された、広大なブナ林を持つ自然遺産は？,白神山地
13,世界遺産検定3級,1,日本,1993年に日本で初めて世界遺産に登録された、現存する木造建築群を持つ文化遺産は？,法隆寺地域の仏教建造物
14,世界遺産検定3級,1,日本,1993年に日本で初めて世界遺産に登録された、漆喰の白さが特徴の文化遺産は？,姫路城
15,世界遺産検定3級,1,日本,1994年に登録された、古都京都を構成する寺社仏閣の総称は？,古都京都の文化財
16,世界遺産検定3級,1,日本,1995年に登録された、日本の伝統的な集落の景観を残す岐阜県の遺産は？,白川郷・五箇山の合掌造り集落
17,世界遺産検定3級,1,日本,1996年に登録された、原爆ドームを含む、戦争の悲劇を伝える遺産は？,原爆ドーム
18,世界遺産検定3級,1,日本,1996年に登録された、広島県の厳島神社がある島は？,厳島神社
19,世界遺産検定3級,1,日本,1998年に登録された、奈良県の東大寺などを含む文化遺産は？,古都奈良の文化財
20,世界遺産検定3級,1,日本,1999年に登録された、日光東照宮や二荒山神社を含む文化遺産は？,日光の社寺
21,世界遺産検定3級,1,日本,2000年に登録された、琉球王国のグスク（城）や関連遺跡群は？,琉球王国のグスク及び関連遺産群
